"","gene_name","glyma","desc"
"6904","LOC100816910","GLYMA_01G032600","protein RICE SALT SENSITIVE 3"
"6905","LOC100816910","GLYMA_01G032600","protein RICE SALT SENSITIVE 3"
"6906","LOC100812992","","disease resistance protein RPV1-like"
"6907","LOC100782057","GLYMA_01G033101v4","7-deoxyloganetic acid glucosyltransferase-like"
"6908","LOC100813533","","uncharacterized LOC100813533"
"6909","LOC100814075","GLYMA_01G033200","uncharacterized LOC100814075"
"6910",".",NA,NA
"6911","LOC100814600","GLYMA_01G033500","WAT1-related protein At5g40210"
"6912","LOC106799419","","serine/threonine-protein kinase BLUS1-like"
"6913","LOC100305655","GLYMA_01G0337001","WAT1-related protein At5g40210"
"6914","LOC100816194","GLYMA_01G033800v4","WAT1-related protein At5g40240-like"
"6915","LOC100816194","GLYMA_01G033800v4","WAT1-related protein At5g40240-like"
"6916","LOC100816715","GLYMA_01G033900","WAT1-related protein At5g40240"
"6917","LOC100816715","GLYMA_01G033900","WAT1-related protein At5g40240"
"6918","LOC100816715","GLYMA_01G033900","WAT1-related protein At5g40240"
"6919","LOC100499973","GLYMA_01G034000","uncharacterized LOC100499973"
"6920","LOC100796654","GLYMA_01G034100","probable serine/threonine-protein kinase PBL28"
"6921","LOC100796654","GLYMA_01G034100","probable serine/threonine-protein kinase PBL28"
"6922","LOC100796654","GLYMA_01G034100","probable serine/threonine-protein kinase PBL28"
"6923","LOC100796654","GLYMA_01G034100","probable serine/threonine-protein kinase PBL28"
"6924","LOC100817255","GLYMA_01G034200","uncharacterized LOC100817255"
"6925",".",NA,NA
"6926","LOC100801798","GLYMA_01G034300","protein ALTERED XYLOGLUCAN 4"
"6927","LOC100817787","","protein ALTERED XYLOGLUCAN 4-like"
"6928","LOC102670021","","uncharacterized LOC102670021"
"6929","LOC102670021","","uncharacterized LOC102670021"
"6930","LOC102670021","","uncharacterized LOC102670021"
"6931","LOC100818320","GLYMA_01G034600","protein ALTERED XYLOGLUCAN 4"
"6932","LOC112997802","","uncharacterized LOC112997802"
"6933","LOC100809774","GLYMA_01G034700","protein ALTERED XYLOGLUCAN 4"
"6934","LOC100819397","","protein ALTERED XYLOGLUCAN 4-like"
"6935","LOC100819929","GLYMA_01G034900","protein ALTERED XYLOGLUCAN 4"
"6936","LOC100814601","GLYMA_01G035000","nucleobase-ascorbate transporter 7"
"6937","LOC100814601","GLYMA_01G035000","nucleobase-ascorbate transporter 7"
"6938","LOC100816716","GLYMA_01G035100","putative methylsterol monooxygenase DDB_G0269788-like"
"6939","LOC100816716","GLYMA_01G035100","putative methylsterol monooxygenase DDB_G0269788-like"
"6940","LOC100816716","GLYMA_01G035100","putative methylsterol monooxygenase DDB_G0269788-like"
"6941","LOC100816716","GLYMA_01G035100","putative methylsterol monooxygenase DDB_G0269788-like"
"6942",".",NA,NA
"6943","LOC100816716","GLYMA_01G035100","putative methylsterol monooxygenase DDB_G0269788-like"
"6944",".",NA,NA
"6945","LOC100817789","","CENP-B homolog protein 2-like"
"6946","LOC113000746","","methylsterol monooxygenase 2-2-like"
"6947","LOC100777177","GLYMA_01G035300","uncharacterized LOC100777177"
"6948","LOC121172773","","uncharacterized LOC121172773"
"6949","LOC113000751","","uncharacterized LOC113000751"
"6950","LOC102660000","GLYMA_01G035400","putative disease resistance protein RGA3"
"6951","LOC100780369","GLYMA_01G035600","cyclin-D1-1"
"6952","LOC100776108","GLYMA_01G035700","ubiquitin carboxyl-terminal hydrolase 36"
"6953","LOC100777175","","putative disease resistance protein RGA4"
"6954","LOC100787855","GLYMA_01G036000","UDP-glycosyltransferase 74B1"
"6955","LOC121172775","GLYMA_01G036100v4","putative disease resistance protein RGA3"
"6956",".",NA,NA
"6957",".",NA,NA
"6958",".",NA,NA
"6959","LOC100789448","GLYMA_01G036200","NLR family CARD domain-containing protein 3"
"6960","LOC100789448","GLYMA_01G036200","NLR family CARD domain-containing protein 3"
"6961",".",NA,NA
"6962",".",NA,NA
"6963","LOC100791554","GLYMA_01G036500","chaperone protein dnaJ 16"
"6964","LOC100791554","GLYMA_01G036500","chaperone protein dnaJ 16"
"6965","LOC100791554","GLYMA_01G036500","chaperone protein dnaJ 16"
"6966","LOC100791554","GLYMA_01G036500","chaperone protein dnaJ 16"
"6967","LOC121172776","","uncharacterized LOC121172776"
"6968","LOC100527006","GLYMA_01G036600","C2H2-type zinc finger domain-containing protein"
"6969",".",NA,NA
"6970","LOC100796844","GLYMA_01G036700","uncharacterized LOC100796844"
"6971","LOC102661099","","uncharacterized LOC102661324"
"6972","LOC102661099","","uncharacterized LOC102661324"
"6973",".",NA,NA
"6974","LOC100778775","GLYMA_01G036800","protein JINGUBANG"
"6975","MMP2","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"6976",".",NA,NA
"6977","LOC100779298","GLYMA_01G037100","metalloendoproteinase 5-MMP"
"6978","LOC100803218","GLYMA_01G037200","metalloendoproteinase 5-MMP"
"6979",".",NA,NA
"6980","LOC100805887","GLYMA_01G037300","uncharacterized LOC100805887"
"6981",".",NA,NA
"6982","LOC100808017","GLYMA_01G037400","zinc finger MYND domain-containing protein 15"
"6983","LOC100779833","GLYMA_01G037500","two-component response regulator ARR5"
"6984","LOC100780368","GLYMA_01G037600","formin-like protein 8"
"6985","LOC100810690","GLYMA_01G037700","protein WVD2-like 7"
"6986","LOC100810690","GLYMA_01G037700","protein WVD2-like 7"
"6987","LOC100810690","GLYMA_01G037700","protein WVD2-like 7"
"6988","LOC100810690","GLYMA_01G037700","protein WVD2-like 7"
"6989","LOC100810690","GLYMA_01G037700","protein WVD2-like 7"
"6990","LOC100810690","GLYMA_01G037700","protein WVD2-like 7"
"6991","LOC100810690","GLYMA_01G037700","protein WVD2-like 7"
"6992","LOC100810690","GLYMA_01G037700","protein WVD2-like 7"
"6993","GER5","AT1G01040, ABNORMAL SUSPENSOR 1, ASU1, ATDCL1, CAF, CARPEL FACTORY, DICER-LIKE 1, EMB60, EMB76, EMBRYO DEFECTIVE 60, EMBRYO DEFECTIVE 76, SHORT INTEGUMENTS 1, SIN1, SUS1, SUSPENSOR 1, T25K16.4, T25K16_4, dicer-like 1","dicer-like 1"
"6994","LOC100813364","GLYMA_01G037900","probable galacturonosyltransferase-like 9"
"6995",".",NA,NA
"6996",".",NA,NA
"6997","LOC100814436","","pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"6998",".",NA,NA
"6999","LOC100780908","GLYMA_01G038100","DExH-box ATP-dependent RNA helicase DExH15 chloroplastic"
"7000",".",NA,NA
"7001",".",NA,NA
"7002","LOC100817626","GLYMA_01G038250v4","paired amphipathic helix protein Sin3-like 4"
"7003",".",NA,NA
"7004","LOC100781440","GLYMA_01G038400","TORTIFOLIA1-like protein 4"
"7005",".",NA,NA
"7006","LOC100781994","GLYMA_01G038500","glycosyltransferase family 92 protein RCOM_0530710"
"7007","MYB158","GLYMA_01G0386002","transcription factor MYB1R1"
"7008",".",NA,NA
"7009","LOC102661728","","putative disease resistance protein RGA4"
"7010",".",NA,NA
"7011","LOC102663655","","uncharacterized LOC102663655"
"7012","LOC100782710","GLYMA_01G038700","uncharacterized LOC100782710"
"7013","LOC100782710","GLYMA_01G038700","uncharacterized LOC100782710"
"7014",".",NA,NA
"7015","LOC100784312","GLYMA_01G038800","serine/threonine-protein phosphatase PP2A catalytic subunit"
"7016",".",NA,NA
"7017","LOC100787506","GLYMA_01G038900, GmCLE34","CLAVATA3/ESR (CLE)-related protein 34"
"7018","LOC100784137","GLYMA_01G039000","disease resistance protein RPV1"
"7019","LOC121172780","","uncharacterized LOC121172780"
"7020","LOC100785194","GLYMA_01G039100","protein SHORT HYPOCOTYL IN WHITE LIGHT 1"
"7021",".",NA,NA
"7022","LOC100794893","GLYMA_01G039200","transcription factor BHLH094"
"7023","LOC106794545","","uncharacterized LOC106794545"
"7024","LOC100785733","GLYMA_01G039300","auxin-responsive protein IAA27"
"7025","LOC100786247","GLYMA_01G039400","myosin-11"
"7026","LOC100786247","GLYMA_01G039400","myosin-11"
"7027","LOC100786247","GLYMA_01G039400","myosin-11"
"7028","LOC100787325","GLYMA_01G039500","uncharacterized LOC100787325"
"7029","LOC100787325","GLYMA_01G039500","uncharacterized LOC100787325"
"7030",".",NA,NA
"7031","LOC100787325","GLYMA_01G039500","uncharacterized LOC100787325"
"7032","LOC100799647","GLYMA_01G039600","probable leucine-rich repeat receptor-like protein kinase"
"7033","LOC100787854","GLYMA_01G039700","exocyst complex component EXO84A"
"7034","LOC100803219","GLYMA_01G039800v4","hydroxyproline O-galactosyltransferase GALT6-like"
"7035","LOC100788392","GLYMA_01G039900","wall-associated receptor kinase-like 15"
"7036","LOC102662102","","uncharacterized LOC102662102"
"7037","GSTU1","AT1G78380, A. THALIANA GLUTATHIONE S-TRANSFERASE TAU 19, ATGSTU19, F3F9.11, F3F9_11, GLUTATHIONE TRANSFERASE 8, GST8, glutathione S-transferase TAU 19","glutathione S-transferase TAU 19"
"7038",".",NA,NA
"7039","LOC547576","GLYMA_01G040200, GSTU3","glutathione S-transferase GST 5"
"7040","LOC100789977","GLYMA_01G040300","tetratricopeptide repeat protein 38"
"7041",".",NA,NA
"7042","LOC100811752","GLYMA_01G040400","uncharacterized LOC100811752"
"7043","LOC100813905","GLYMA_01G040500","uncharacterized LOC100813905"
"7044","LOC100814971","GLYMA_01G040600","dnaJ homolog subfamily B member 5"
"7045",".",NA,NA
"7046","LOC100527298","GLYMA_01G040700","uncharacterized LOC100527298"
"7047","LOC100791029","GLYMA_01G040900","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH1"
"7048","LOC100791029","GLYMA_01G040900","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH1"
"7049","LOC100791029","GLYMA_01G040900","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH1"
"7050","LOC100791029","GLYMA_01G040900","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH1"
"7051","LOC100817095","GLYMA_01G041100","thioredoxin H2"
"7052","LOC100527691","GLYMA_01G041200","TRX domain-containing protein"
"7053",".",NA,NA
"7054","LOC100819759","GLYMA_01G041300","uncharacterized LOC100819759"
"7055","LOC102662355","","uncharacterized LOC102662355"
"7056","LOC100776472","GLYMA_01G041400","protein NRT1/ PTR FAMILY 2.13"
"7057","LOC112997804","GLYMA_01G041450v4","protein NRT1/ PTR FAMILY 2.13-like"
"7058","LOC100792611","GLYMA_01G041500","protein PTST homolog 2, chloroplastic"
"7059",".",NA,NA
"7060","LOC100793672","","ultraviolet-B receptor UVR8-like"
"7061",".",NA,NA
"7062","LOC100783970","","homeobox-leucine zipper protein HAT5-like"
"7063","LOC100794723","GLYMA_01G042100","protein NRT1/ PTR FAMILY 4.6"
"7064",".",NA,NA
"7065","LOC121172784","","uncharacterized LOC121172784"
"7066",".",NA,NA
"7067",".",NA,NA
"7068",".",NA,NA
"7069","PLP2","'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras 2, KI-RAS, KRAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2","KRAS proto-oncogene, GTPase"
"7070","PLP2","'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras 2, KI-RAS, KRAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2","KRAS proto-oncogene, GTPase"
"7071","LOC100787151","GLYMA_01G042400","probable serine/threonine-protein kinase PIX7"
"7072","LOC100787151","GLYMA_01G042400","probable serine/threonine-protein kinase PIX7"
"7073",".",NA,NA
"7074","LOC100787151","GLYMA_01G042400","probable serine/threonine-protein kinase PIX7"
"7075","LOC100787151","GLYMA_01G042400","probable serine/threonine-protein kinase PIX7"
"7076","LOC100795788","","uncharacterized LOC100795788"
"7077","LOC100791391","GLYMA_01G042600","hypersensitive-induced response protein 1"
"7078","LOC100796307","GLYMA_01G042700","probable pectate lyase 3"
"7079","BZIP109","GLYMA_01G042800","bZIP transcription factor bZIP109"
"7080","BZIP109","GLYMA_01G042800","bZIP transcription factor bZIP109"
"7081","LOC100796841","GLYMA_01G042900","plant-specific TFIIB-related protein PTF2"
"7082","LOC100797370","GLYMA_01G043000","single-stranded DNA-binding protein WHY1, chloroplastic"
"7083","LOC100797370","GLYMA_01G043000","single-stranded DNA-binding protein WHY1, chloroplastic"
"7084","LOC100797370","GLYMA_01G043000","single-stranded DNA-binding protein WHY1, chloroplastic"
"7085","LOC102662639","","protein ALP1-like"
"7086","LOC100798261","","mitogen-activated protein kinase kinase kinase 20-like"
"7087","LOC102662766","GLYMA_01G043200","B3 domain-containing protein At2g31420"
"7088","LOC100797911","GLYMA_01G043300","WRKY transcription factor 72A"
"7089",".",NA,NA
"7090","LOC106799425","","uncharacterized LOC106799425"
"7091","LOC100800376","GLYMA_01G043400","SNF1-related protein kinase regulatory subunit gamma-1-like"
"7092","LOC100800376","GLYMA_01G043400","SNF1-related protein kinase regulatory subunit gamma-1-like"
"7093","LOC100800376","GLYMA_01G043400","SNF1-related protein kinase regulatory subunit gamma-1-like"
"7094","LOC100800376","GLYMA_01G043400","SNF1-related protein kinase regulatory subunit gamma-1-like"
"7095","LOC100800376","GLYMA_01G043400","SNF1-related protein kinase regulatory subunit gamma-1-like"
"7096","LOC100800376","GLYMA_01G043400","SNF1-related protein kinase regulatory subunit gamma-1-like"
"7097","LOC100798966","","pentatricopeptide repeat-containing protein At2g02750-like"
"7098","LOC100500581","GLYMA_01G043600","uncharacterized LOC100500581"
"7099","LOC100500581","GLYMA_01G043600","uncharacterized LOC100500581"
"7100","LOC100500581","GLYMA_01G043600","uncharacterized LOC100500581"
"7101","LOC100800018","GLYMA_01G043700","probable LRR receptor-like serine/threonine-protein kinase At1g14390"
"7102","IQD2","AT5G46630, AP2M, adaptor protein-2 mu-adaptin","Clathrin adaptor complexes medium subunit family protein"
"7103","IQD2","AT5G46630, AP2M, adaptor protein-2 mu-adaptin","Clathrin adaptor complexes medium subunit family protein"
"7104","IQD2","AT5G46630, AP2M, adaptor protein-2 mu-adaptin","Clathrin adaptor complexes medium subunit family protein"
"7105",".",NA,NA
"7106",".",NA,NA
"7107","LOC113001144","","uncharacterized LOC113001144"
"7108","LOC102669670","GLYMA_01G043951v4","uncharacterized LOC102669670"
"7109","LOC106794547","","uncharacterized LOC106794547"
"7110","LOC106794547","","uncharacterized LOC106794547"
"7111","MIR395H","bdi-MIR395h","microRNA MIR395h"
"7112","MIR395H","bdi-MIR395h","microRNA MIR395h"
"7113","MIR395I","vvi-MIR395i","microRNA MIR395i"
"7114","MIR395I","vvi-MIR395i","microRNA MIR395i"
"7115","LOC100809242","GLYMA_01G044000","heme-binding protein 2"
"7116","MIR395J","bdi-MIR395j","microRNA MIR395j"
"7117","MIR395J","bdi-MIR395j","microRNA MIR395j"
"7118","MIR395K","bdi-MIR395k","microRNA MIR395k"
"7119","MIR395K","bdi-MIR395k","microRNA MIR395k"
"7120","MIR395A","AT1G26973, MICRORNA 395, MIR395, MIR395A, microRNA395A, p_MI0001007","miscRNA"
"7121","MIR395A","AT1G26973, MICRORNA 395, MIR395, MIR395A, microRNA395A, p_MI0001007","miscRNA"
"7122",".",NA,NA
"7123",".",NA,NA
"7124","LOC100809778","GLYMA_01G044100","probable serine/threonine-protein kinase PBL3"
"7125",".",NA,NA
"7126",".",NA,NA
"7127","LOC100811913","GLYMA_01G044200","UDP-galactose/UDP-glucose transporter"
"7128",".",NA,NA
"7129",".",NA,NA
"7130",".",NA,NA
"7131","LOC100803030","GLYMA_01G044300","transcription factor MYB88"
"7132","LOC100803030","GLYMA_01G044300","transcription factor MYB88"
"7133",".",NA,NA
"7134","LOC100803562","GLYMA_01G044500","uncharacterized LOC100803562"
"7135","LOC100814080","GLYMA_01G044600","homeobox-leucine zipper protein ATHB-13-like"
"7136","LOC100814080","GLYMA_01G044600","homeobox-leucine zipper protein ATHB-13-like"
"7137","LOC100814080","GLYMA_01G044600","homeobox-leucine zipper protein ATHB-13-like"
"7138",".",NA,NA
"7139","LOC100814080","GLYMA_01G044600","homeobox-leucine zipper protein ATHB-13-like"
"7140",".",NA,NA
"7141","LOC102670506","","uncharacterized LOC102670506"
"7142","LOC102670506","","uncharacterized LOC102670506"
"7143","LOC102670506","","uncharacterized LOC102670506"
"7144","LOC102670506","","uncharacterized LOC102670506"
"7145","LOC121172793","","uncharacterized LOC121172793"
"7146","LOC121172793","","uncharacterized LOC121172793"
"7147","LOC100816720","GLYMA_01G044800","transcription factor PRE6"
"7148",".",NA,NA
"7149","LOC100817793","","peptidyl-prolyl cis-trans isomerase CYP23-like"
"7150","LOC100818865","GLYMA_01G045100","F-box/kelch-repeat protein At1g26930"
"7151","LOC100818865","GLYMA_01G045100","F-box/kelch-repeat protein At1g26930"
"7152","LOC100818865","GLYMA_01G045100","F-box/kelch-repeat protein At1g26930"
"7153","LOC100818865","GLYMA_01G045100","F-box/kelch-repeat protein At1g26930"
"7154",".",NA,NA
"7155","LOC100819761","GLYMA_01G045200","uncharacterized LOC100819761"
"7156","LOC102663971","","uncharacterized LOC102663971"
"7157","LOC100806758","GLYMA_01G045300","protein GAMETE CELL DEFECTIVE 1, mitochondrial"
"7158","LOC100806758","GLYMA_01G045300","protein GAMETE CELL DEFECTIVE 1, mitochondrial"
"7159",".",NA,NA
"7160","LOC100306464","GLYMA_01G045400","uncharacterized LOC100306464"
"7161","LOC102664090","","protein MAIN-LIKE 1-like"
"7162","LOC100809966","GLYMA_01G045500v4","transcription factor TCP14-like"
"7163","LOC100786093","GLYMA_01G045700","ran guanine nucleotide release factor-like"
"7164",".",NA,NA
"7165",".",NA,NA
"7166","LOC100787682","GLYMA_01G045800","peroxisomal adenine nucleotide carrier 1-like"
"7167","LOC102660630","GLYMA_01G045900","probable membrane-associated kinase regulator 6"
"7168","SLD1.1","GLYMA_01G046000","delta8-sphingolipid desaturase 1"
"7169","SLD1.1","GLYMA_01G046000","delta8-sphingolipid desaturase 1"
"7170","SLD1.1","GLYMA_01G046000","delta8-sphingolipid desaturase 1"
"7171","LOC100811034","","cullin-3A-like"
"7172",".",NA,NA
"7173","LOC100306694","GLYMA_01G046200","haloacid dehalogenase-like hydrolase domain-containing protein"
"7174","LOC100306694","GLYMA_01G046200","haloacid dehalogenase-like hydrolase domain-containing protein"
"7175","LOC100306694","GLYMA_01G046200","haloacid dehalogenase-like hydrolase domain-containing protein"
"7176","LOC100306694","GLYMA_01G046200","haloacid dehalogenase-like hydrolase domain-containing protein"
"7177","SG-4","GLYMA_01G046300, UGT73P10","UDP-arabinose glycosyltransferase"
"7178",".",NA,NA
"7179","LOC100795599","GLYMA_01G046400","origin of replication complex subunit 6"
"7180","LOC100795599","GLYMA_01G046400","origin of replication complex subunit 6"
"7181","LOC100795599","GLYMA_01G046400","origin of replication complex subunit 6"
"7182",".",NA,NA
"7183","LOC100795599","GLYMA_01G046400","origin of replication complex subunit 6"
"7184",".",NA,NA
"7185","LOC100796655","GLYMA_01G046500","sphinganine C4-monooxygenase 1"
"7186",".",NA,NA
"7187","LOC100811572","GLYMA_01G046600","protein PHYTOCHROME KINASE SUBSTRATE 1"
"7188","LOC100811572","GLYMA_01G046600","protein PHYTOCHROME KINASE SUBSTRATE 1"
"7189","LOC100811572","GLYMA_01G046600","protein PHYTOCHROME KINASE SUBSTRATE 1"
"7190","LOC100811572","GLYMA_01G046600","protein PHYTOCHROME KINASE SUBSTRATE 1"
"7191","LOC100799841","GLYMA_01G046700","probable methyltransferase PMT2"
"7192","LOC100799841","GLYMA_01G046700","probable methyltransferase PMT2"
"7193","LOC100799841","GLYMA_01G046700","probable methyltransferase PMT2"
"7194","LOC100812101","","uncharacterized LOC100812101"
"7195","LOC100170721","GLYMA_01G046800, NAC36","protein FEZ"
"7196","LOC100814259","","disease resistance protein RUN1-like"
"7197","LOC100814790","GLYMA_01G046900v4","disease resistance protein RUN1-like"
"7198","LOC100306077","","60S ribosomal protein L34"
"7199",".",NA,NA
"7200","LOC112997807","","uncharacterized LOC112997807"
"7201","LOC106794551","","uncharacterized LOC106794551"
"7202","LOC100807287","GLYMA_01G047100","probable apyrase 6"
"7203",".",NA,NA
"7204","LOC100807287","GLYMA_01G047100","probable apyrase 6"
"7205",".",NA,NA
"7206","LOC100816385","","uncharacterized LOC102665000"
"7207",".",NA,NA
"7208",".",NA,NA
"7209",".",NA,NA
"7210","LOC100500569","GLYMA_01G047600","uncharacterized LOC100500569"
"7211","LOC100812998","GLYMA_01G047700","uncharacterized LOC100812998"
"7212",".",NA,NA
"7213",".",NA,NA
"7214","LOC100817446","GLYMA_01G047900","zinc-finger homeodomain protein 11"
"7215","LOC100817976","GLYMA_01G0480001","uncharacterized LOC100817976"
"7216",".",NA,NA
"7217","LOC100817794","GLYMA_01G048100","pentatricopeptide repeat-containing protein At2g02980, chloroplastic"
"7218","LOC100777706","GLYMA_01G048200","ribonuclease 1"
"7219","LOC100778239","GLYMA_01G048400","ribonuclease 3"
"7220","LOC100780913","GLYMA_01G048500","beta-1,3-galactosyltransferase GALT1"
"7221","LOC100780913","GLYMA_01G048500","beta-1,3-galactosyltransferase GALT1"
"7222",".",NA,NA
"7223","LOC100780913","GLYMA_01G048500","beta-1,3-galactosyltransferase GALT1"
"7224","LOC100819047","GLYMA_01G048600","uncharacterized LOC100819047"
"7225","LOC100819047","GLYMA_01G048600","uncharacterized LOC100819047"
"7226","LOC100819587","GLYMA_01G048700","E3 ubiquitin-protein ligase MPSR1"
"7227","LOC100783073","GLYMA_01G048800","(R)-mandelonitrile lyase-like"
"7228",".",NA,NA
"7229",".",NA,NA
"7230","LOC112997809","","transposon Tf2-1 polyprotein"
"7231","LOC102665401","","(R)-mandelonitrile lyase-like"
"7232","LOC102665543","GLYMA_01G049000","glutathione S-transferase T3"
"7233","PHR2","AT4G34460, ARABIDOPSIS G-PROTEIN BETA SUBUNIT, ATAGB1, ELK4, ERECTA-LIKE 4, GTP binding protein beta 1, T4L20.40, T4L20_40","GTP binding protein beta 1"
"7234",".",NA,NA
"7235","PHR2","AT4G34460, ARABIDOPSIS G-PROTEIN BETA SUBUNIT, ATAGB1, ELK4, ERECTA-LIKE 4, GTP binding protein beta 1, T4L20.40, T4L20_40","GTP binding protein beta 1"
"7236","PHR2","AT4G34460, ARABIDOPSIS G-PROTEIN BETA SUBUNIT, ATAGB1, ELK4, ERECTA-LIKE 4, GTP binding protein beta 1, T4L20.40, T4L20_40","GTP binding protein beta 1"
"7237","PHR2","AT4G34460, ARABIDOPSIS G-PROTEIN BETA SUBUNIT, ATAGB1, ELK4, ERECTA-LIKE 4, GTP binding protein beta 1, T4L20.40, T4L20_40","GTP binding protein beta 1"
"7238","LOC106799434","GLYMA_01G049300","uncharacterized LOC106799434"
"7239","LOC106799434","GLYMA_01G049300","uncharacterized LOC106799434"
"7240","LOC100775201","GLYMA_01G049400","cyclic dof factor 1"
"7241","LOC102665675","","uncharacterized LOC102665675"
"7242","LOC100788925","GLYMA_01G049500","calcium-binding EF-hand family protein"
"7243","LOC100776292","GLYMA_01G049600","uncharacterized LOC100776292"
"7244","LOC100776826","GLYMA_01G049700","glucan endo-1,3-beta-glucosidase 1"
"7245","LOC100777887","GLYMA_01G049800","uncharacterized LOC100777887"
"7246","LOC100794204","GLYMA_01G049900","transcription termination factor MTEF1, chloroplastic"
"7247","LOC102665922","GLYMA_01G050000","agamous-like MADS-box protein AGL30"
"7248","LOC106799438","","uncharacterized LOC106799438"
"7249","LOC102666054","","protein MAIN-LIKE 1-like"
"7250","LOC102666195","","uncharacterized LOC102666195"
"7251","LOC100796316","GLYMA_01G050100","expansin-A10"
"7252","LOC100796316","GLYMA_01G050100","expansin-A10"
"7253","LOC100796316","GLYMA_01G050100","expansin-A10"
"7254","LOC112997742","GLYMA_01G050350v4","uncharacterized LOC112997742"
"7255","LOC112997742","GLYMA_01G050350v4","uncharacterized LOC112997742"
"7256","LOC100779481","GLYMA_01G050400","uncharacterized LOC100779481"
"7257","LOC100779481","GLYMA_01G050400","uncharacterized LOC100779481"
"7258","LOC100779481","GLYMA_01G050400","uncharacterized LOC100779481"
"7259","LOC100779481","GLYMA_01G050400","uncharacterized LOC100779481"
"7260","LOC102666462","","uncharacterized LOC102666462"
"7261","LOC100780549","","uncharacterized LOC100780549"
"7262","LOC100801094","GLYMA_01G050500","uncharacterized LOC100801094"
"7263","LOC113002181","","uncharacterized LOC113002181"
"7264","LOC100806414","GLYMA_01G050700","CASP-like protein 7"
"7265","LOC100807480","GLYMA_01G050900","photosynthetic NDH subunit of lumenal location 2, chloroplastic"
"7266",".",NA,NA
"7267","LOC100782707","","2-hydroxy-palmitic acid dioxygenase mpo1-like"
"7268","NAC1","HMG-1, HMG1, HMG3, SBP-1","high mobility group box 1"
"7269",".",NA,NA
"7270",".",NA,NA
"7271","NAC1","HMG-1, HMG1, HMG3, SBP-1","high mobility group box 1"
"7272","LOC100784665","GLYMA_01G051400","protein SHORT ROOT IN SALT MEDIUM 1"
"7273","LOC100784665","GLYMA_01G051400","protein SHORT ROOT IN SALT MEDIUM 1"
"7274",".",NA,NA
"7275",".",NA,NA
"7276",".",NA,NA
"7277","LOC100785195","","uncharacterized LOC100785195"
"7278","LOC100785734","GLYMA_01G051600","transcription factor MYB106"
"7279","LOC100787150","GLYMA_01G051700","transcription factor MYB106"
"7280","LOC113002185","","uncharacterized LOC113002185"
"7281","LOC102666276","GLYMA_01G051800","glyceraldehyde-3-phosphate dehydrogenase B, chloroplastic"
"7282","LOC106799447","","uncharacterized LOC106799447"
"7283","LOC102667740","GLYMA_01G052000","L10-interacting MYB domain-containing protein"
"7284","LOC100817240","GLYMA_01G052200","uncharacterized LOC100817240"
"7285","LOC100817240","GLYMA_01G052200","uncharacterized LOC100817240"
"7286","LOC102666756","GLYMA_01G052300","uncharacterized LOC102666756"
"7287","LOC102666756","GLYMA_01G052300","uncharacterized LOC102666756"
"7288","LOC102666756","GLYMA_01G052300","uncharacterized LOC102666756"
"7289","LOC106799448","","uncharacterized LOC106799448"
"7290","LOC100306639","GLYMA_01G052400","uncharacterized LOC100306639"
"7291","LOC100775903","GLYMA_01G052500","rhamnogalacturonan I rhamnosyltransferase 1"
"7292","LOC100775903","GLYMA_01G052500","rhamnogalacturonan I rhamnosyltransferase 1"
"7293",".",NA,NA
"7294","MIR5670A","MIR5670, gma-MIR5670, gma-MIR5670a","microRNA MIR5670a"
"7295","MIR5670A","MIR5670, gma-MIR5670, gma-MIR5670a","microRNA MIR5670a"
"7296","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"7297","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"7298","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"7299","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"7300","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"7301","LOC100789803","GLYMA_01G052700","uncharacterized LOC100789803"
"7302",".",NA,NA
"7303","LOC100500007","GLYMA_01G052800","uncharacterized LOC100500007"
"7304","LOC100791914","GLYMA_01G0529001","CSC1-like protein At1g69450"
"7305","LOC100796107","GLYMA_01G053100","protein argonaute 7"
"7306","LOC100499907","GLYMA_01G053200","uncharacterized LOC100499907"
"7307","LOC100499907","GLYMA_01G053200","uncharacterized LOC100499907"
"7308",".",NA,NA
"7309","LOC100499907","GLYMA_01G053200","uncharacterized LOC100499907"
"7310",".",NA,NA
"7311","LOC106799450","","uncharacterized LOC106799450"
"7312",".",NA,NA
"7313","LOC100803007","GLYMA_01G053300","probable protein S-acyltransferase 22"
